"","player_name","player_state","total_points","player_pre_rating","average_opp_rating"
"1","Gary Hua","ON",6,1794,1605
"2","Dakshesh Daruri","MI",6,1553,1469
"3","Aditya Bajaj","MI",6,1384,1564
"4","Patrick H Schilling","MI",5.5,1716,1574
"5","Hanshi Zuo","MI",5.5,1655,1501
"6","Hansen Song","OH",5,1686,1519
"7","Gary Dee Swathell","MI",5,1649,1372
"8","Ezekiel Houghton","MI",5,1641,1468
"9","Stefano Lee","ON",5,1411,1523
"10","Anvit Rao","MI",5,1365,1554
"11","Cameron William Mc Leman","MI",4.5,1712,1468
"12","Kenneth J Tack","MI",4.5,1663,1506
"13","Torrance Henry Jr","MI",4.5,1666,1498
"14","Bradley Shaw","MI",4.5,1610,1515
"15","Zachary James Houghton","MI",4.5,1220,1484
"16","Mike Nikitin","MI",4,1604,1386
"17","Ronald Grzegorczyk","MI",4,1629,1499
"18","David Sundeen","MI",4,1600,1480
"19","Dipankar Roy","MI",4,1564,1426
"20","Jason Zheng","MI",4,1595,1411
"21","Dinh Dang Bui","ON",4,1563,1470
"22","Eugene L Mcclure","MI",4,1555,1300
"23","Alan Bui","ON",4,1363,1214
"24","Michael R Aldrich","MI",4,1229,1357
"25","Loren Schwiebert","MI",3.5,1745,1363
"26","Max Zhu","ON",3.5,1579,1507
"27","Gaurav Gidwani","MI",3.5,1552,1222
"28","Sofia Adina Stanescu","MI",3.5,1507,1522
"29","Chiedozie Okorie","MI",3.5,1602,1314
"30","George Avery Jones","ON",3.5,1522,1144
"31","Rishi Shetty","MI",3.5,1494,1260
"32","Joshua Philip Mathews","ON",3.5,1441,1379
"33","Jade Ge","MI",3.5,1449,1277
"34","Michael Jeffery Thomas","MI",3.5,1399,1375
"35","Joshua David Lee","MI",3.5,1438,1150
"36","Siddharth Jha","MI",3.5,1355,1388
"37","Amiyatosh Pwnanandam","MI",3.5,980,1385
"38","Brian Liu","MI",3,1423,1539
"39","Joel R Hendon","MI",3,1436,1430
"40","Forest Zhang","MI",3,1348,1391
"41","Kyle William Murphy","MI",3,1403,1248
"42","Jared Ge","MI",3,1332,1150
"43","Robert Glen Vasey","MI",3,1283,1107
"44","Justin D Schilling","MI",3,1199,1327
"45","Derek Yan","MI",3,1242,1152
"46","Jacob Alexander Lavalley","MI",3,377,1358
"47","Eric Wright","MI",2.5,1362,1392
"48","Daniel Khain","MI",2.5,1382,1356
"49","Michael J Martin","MI",2.5,1291,1286
"50","Shivam Jha","MI",2.5,1056,1296
"51","Tejas Ayyagari","MI",2.5,1011,1356
"52","Ethan Guo","MI",2.5,935,1495
"53","Jose C Ybarra","MI",2,1393,1345
"54","Larry Hodge","MI",2,1270,1206
"55","Alex Kong","MI",2,1186,1406
"56","Marisa Ricci","MI",2,1153,1414
"57","Michael Lu","MI",2,1092,1363
"58","Viraj Mohile","MI",2,917,1391
"59","Sean M Mc Cormick","MI",2,853,1319
"60","Julia Shen","MI",1.5,967,1330
"61","Jezzel Farkas","ON",1.5,955,1327
"62","Ashwin Balaji","MI",1,1530,1186
"63","Thomas Joseph Hosmer","MI",1,1175,1350
"64","Ben Li","MI",1,1163,1263
